,id,sponsor,event,venue,place,date,location,page_count,dish_count
989,13846,NEW ROCKINGHAM,LUNCHEON,COMMERCIAL,"NARRAGANSETT PIER,RI",7/7/1900,New Rockingham,2,38
990,13847,ALFRED MARSHAL,LARCHMONT TROLLEY PARTY LUNCH,"OTHER,(PRIVATE);","HOTEL ST.GEORGE,NYACK-ON-HUDSON,[NY]",7/7/1900,Alfred Marshal,2,19
991,13848,PLANTERS HOTEL,BREAKFAST,COMMERCIAL,"ST LOUIS,MO",7/8/1900,Planters Hotel,2,153
992,13849,?,BREAKFAST,COMMERCIAL,NIAGARA TO THE SEA,7/8/1900,?,2,84
993,13850,?,SUPPER,COMMERCIAL,NIAGARA TO THE SEA,7/8/1900,?,2,80
994,13852,NEW GLADSTONE,LUNCHEON,COMMERCIAL,"NARRAGANSETT PIER, RI",7/8/1900,New Gladstone,2,34
995,13853,NEW GLADSTONE,DINNER,COMMERCIAL,"NARRAGANSETT PIER, RI",7/8/1900,New Gladstone,2,44
996,13854,PRINCE OF WALES HOTEL,DINNER,COMMERCIAL,"SOUTHPORT,(ENGLAND?)",5/27/1901,Prince Of Wales Hotel,2,14
997,13855,OCEANIC STEAMSHIP CO.,LUNCHEON - SECOND CABIN,COMMERCIAL,EN ROUTE ABOARD VENTURA,5/27/1901,Oceanic Steamship Co.,2,25
998,13856,OCEANIC STEAMSHIP CO.,BREAKFAST - SECOND CABIN,COMMERCIAL,EN ROUTE ABOARD VENTURA,5/27/1901,Oceanic Steamship Co.,2,20
999,13857,OCEANIC STEAMSHIP CO.,DINNER - SECOND CABIN,COMMERCIAL,EN ROUTE ABOARD VENTURA,5/27/1901,Oceanic Steamship Co.,4,23
1001,13862,SARATOGY RACING ASSOCIATION,NINTH ANNUAL LAWN PARTY,OTHER (SPORTING CLUB);,"SARATOGA, NY",8/16/1900,Saratogy Racing Association,2,32
1002,13863,NIPPON YUSEN KAISHA,BREAKFAST,COMMERCIAL,SS KAMAKUKRA MARU,8/16/1900,Nippon Yusen Kaisha,2,14
1003,13864,NIPPON YUSEN KAISHA,TIFFIN,COMMERCIAL,SS KAMAKUKRA MARU,8/16/1900,Nippon Yusen Kaisha,2,22
1004,13865,LOHG BEACH HOTEL,DINNER,COMMERCIAL,"LONG BEACH,L.I.,[NY&]",8/16/1900,Long Beach Hotel,2,52
1005,13867,NATIONAL ASSOCIATION OF BOX AND BOX SHOOK MAKERS,SEMI-ANNUAL MEETING AND DINNER,COMMERCIAL,"HOTEL VICTORY,PUT-IN-BAY ISLAND,LAKE ERIE,OH",8/17/1900,National Association Of Box And Box Shook Makers,4,36
1006,13870,BRITISH MUSEUM REFRESHMENT DEPARTMENT,BILL OF FARE,EDUC;,"[LONDON,ENGLAND ?]",8/18/1900,British Museum Refreshment Department,2,50
1007,13873,OCEANIC STEAMSHIP COMPANY,BREAKFAST,COMMERCIAL,"2ND CABIN, SS SIERRA",6/15/1901,Oceanic Steamship Company,2,13
1008,13878,MOUQUIN RESTAURANT AND WINE CO.,BREAKFAST,COMMERCIAL,"20 ANN STREET, 149 FULTON ST, 454 SIXTH AVENUE",1/1/1901,Mouquin Restaurant And Wine Co.,4,522
1009,13882,THE PRESIDENT & DIRECTORS OF THE CONFEDERATION LIFE ASSOCIATION,DINNER,PROF;,"TORONTO,CANADA",4/29/1901,The President & Directors Of The Confederation Life Association,4,24
1010,13886,COMMERCIAL CLUB OF CHICAGO,DINHNER,PROF;,SPECIAL PULLMAN VESTIBULED TRAIN EN ROUTE TO BOSTON AND RETURN,6/4/1900,Commercial Club Of Chicago,2,26
1011,13887,SANTA FE' ROUTE,LUNCHEON,COMMERCIAL,EN ROUTE,6/1/1900,Santa Fe' Route,2,40
1012,13888,SOUTHERN RAILWAY - DINING CAR SERVICE,DINNER,COMMERCIAL,EN ROUTE,6/1/1900,Southern Railway   Dining Car Service,2,26
1013,13890,RUSSELL HOUSE,DINNER,COMMERCIAL,"DETROIT,MICH.",6/1/1900,Russell House,2,48
1014,13891,CAFE' BOULEVARD - CHATEAU HENRI IV,[DINNER],COMMERCIAL,156 2ND AVE. NY,6/4/1900,Cafe' Boulevard   Chateau Henri Iv,2,15
1015,13892,AMERICAN MEDICAL EDITOR'S ASSOCIATION,DINNER,PROF;,"HOTEL DENNIS, ATLANTIC CITY , NJ",6/4/1900,American Medical Editor's Association,2,21
1017,13895,OCCIDENTAL & ORIENTAL STEAMSHIP COMPANY,LUNCH,COMMERCIAL,SS GAELIC,6/6/1900,Occidental & Oriental Steamship Company,2,24
1018,13896,OCCIDENTAL & ORIENTAL STEAMSHIP COMPANY,DINNER,COMMERCIAL,SS GAELIC,6/6/1900,Occidental & Oriental Steamship Company,4,31
1019,13898,HOTEL VICTORY,SUNDAY DINNER (EVENING),COMMERCIAL,"PUT IN BAY ISLAND, OHIO",7/8/1900,Hotel Victory,4,42
1020,13899,HOTEL COLORADO,DINNER,COMMERCIAL,"[GLENWOOD SPRINGS, CO]",7/8/1900,Hotel Colorado,4,36
1021,13900,CATSKILL MOUNTAIN HOUSE,DINNER,COMMERCIAL,[NEW YORK],7/8/1900,Catskill Mountain House,4,61
1022,13901,CATSKILL MOUNTAIN HOUSE,SUNDAY SUPPER,COMMERCIAL,[NEW YORK],7/8/1900,Catskill Mountain House,2,67
1023,13902,HOTEL VICTORY,BREAKFAST,COMMERCIAL,"PUT IN BAY ISLAND, OHIO",7/8/1900,Hotel Victory,2,54
1024,13905,HOTEL COLORADO,DINNER,COMMERCIAL,"GLENWOOD SPRINGS, CO",7/9/1900,Hotel Colorado,2,35
1025,13906,PLANTERS HOTEL,DINNER A LA CARTE,COMMERCIAL,"ST. LOUIS, [MO];",7/9/1900,Planters Hotel,4,141
1026,13907,HOTEL COLORADO,LUNCHEON,COMMERCIAL,"GLENWOOD SPRINGS, CO",7/9/1900,Hotel Colorado,2,42
1027,13908,CATSKILL MOUNTAIN HOUSE,BREAKFAST,COMMERCIAL,[NEW YORK],7/10/1900,Catskill Mountain House,2,73
1028,13909,HOTEL COLORADO,BREAKFAST,COMMERCIAL,"GLENWOOD SPRINGS, CO",7/10/1900,Hotel Colorado,2,55
1029,13910,PLANTERS HOTEL,DINNER,COMMERCIAL,"ST. LOUIS, [MO];",7/10/1900,Planters Hotel,4,42
1030,13911,NORTHERN STEAMSHIP COMPANY/GREAT NORTHERN RY LINE.,BREAKFAST,COMMERCIAL,ON BOARD SS NORTH LAND,1/1/1900,Northern Steamship Company/Great Northern Ry Line.,4,166
1031,13912,RUSSELL HOUSE,TABLE D'HOTE,COMMERCIAL,"DETROIT, MI",7/11/1900,Russell House,2,31
1032,13913,NORTHERN STEAMSHIP COMPANY/GREAT NORTHERN RY LINE.,DINNER,COMMERCIAL,ON BOARD SS NORTH LAND,7/11/1900,Northern Steamship Company/Great Northern Ry Line.,4,213
1033,13915,NORTHERN STEAMSHIP COMPANY/GREAT NORTHERN RY LINE.,A LA CARTE,COMMERCIAL,ON BOARD SS NORTH LAND,1/1/1900,Northern Steamship Company/Great Northern Ry Line.,4,248
1034,13916,(NORTHERN STEAMSHIP COMPANY/GREAT NORTHERN RY LINE.),LUNCHEON,COMMERCIAL,ON BOARD SS NORTH LAND,7/11/1900,Northern Steamship Company/Great Northern Ry Line.,2,107
1035,13917,HOTEL VICTORY,EVENING DINNER,COMMERCIAL,"PUT IN BAY ISLAND, OH",7/12/1900,Hotel Victory,4,39
1036,13918,NATIONAL LIFE INSURANCE CO.,SEMI-CENTENNIAL CELEBRATION/LUNCHEON,PROF;,"HOTEL CHAMPLAIN, CLINTON COUNTY, NY;",7/12/1900,National Life Insurance Co.,4,41
1037,13919,MENZIES HOTEL,LUNCHEON,COMMERCIAL,"[MELBOURNE,AUSTRALIA?]",10/11/1900,Menzies Hotel,2,30
1038,13921,LONG BEACH HOTEL,SUPPER,COMMERCIAL,"LONG BEACH,LI,[NY?]",8/18/1900,Long Beach Hotel,2,44
1039,13922,LONG BEACH HOTEL,DINNER,COMMERCIAL,"LONG BEACH, LI, [NY];",8/19/1900,Long Beach Hotel,2,56
1040,13923,NIPPON YUSEN KAISHA,TIFFIN,COMMERCIAL,ABOARD SS KASUGA;,8/19/1900,Nippon Yusen Kaisha,2,15
1042,13927,HOTEL VICTORY,BREAKFAST,COMMERCIAL,"PUT-IN-BAY ISLAND, LAKE ERIE, OH;",8/20/1900,Hotel Victory,2,55
1043,13928,NIPPON YUSEN KAISHA,TIFFIN,COMMERCIAL,ABOARD SS KAMAKURA MARU;,8/20/1900,Nippon Yusen Kaisha,2,19
1046,13931,PALACE HOTEL RESTAURAT,DINNER,COMMERCIAL,"[SAN FRANCISCO,CA]",10/31/1900,Palace Hotel Restaurat,2,421
1047,13932,PALACE HOTEL CAFE,BREAKFAST,COMMERCIAL,"[SAN FRANCISCO,CA]",10/31/1900,Palace Hotel Cafe,2,279
1048,13933,PALACE HOTEL CAFE,SUPPER,COMMERCIAL,"SAN FRANCISCO,[CA?]",10/31/1900,Claremont Hotel,2,122
1049,13934,BOSTON & BANGOR STEAMSHIP COMPANY,BREAKFAST,COMMERCIAL,SS MOUNT DESERT,9/2/1900,Boston & Bangor Steamship Company,2,20
1050,13935,C.SCHMID,DAILY MENU,COMMERCIAL,"KAISER-RESTAURANT,61A KAISER FRIEDRICHSTRASSE,CHARLOTTENBURG",9/2/1900,C.Schmid,2,46
1053,13938,PROFILE HOUSE/HOTEL VENDOME,DINNER,COMMERCIAL,"BOSTON, MA",9/3/1900,Profile House/Hotel Vendome,4,46
1054,13940,ZUM FRANCISKANER/OSCAR BEGAUER,LUNCH/MITTAGS-KARTE,COMMERCIAL,"BERLIN NW, GEORGEN-STRASSE NR. 13; [GERMANY]",9/4/1900,Zum Franciskaner/Oscar Begauer,4,77
1055,13942,SUIZO HOTEL,MENU,COMMERCIAL,"CORDOBA, [?SPAIN]",9/23/1900,Suizo Hotel,2,8
1056,13943,HADDON HALL,BREAKFAST,COMMERCIAL,"[ATLANTIC CITY, NJ]",9/23/1900,Haddon Hall,2,72
1057,13944,NORDEUTSCHER LLOYD BREMEN,DINNER,COMMERCIAL,"DAMPFER ""ALLER""",9/23/1900,Nordeutscher Lloyd Bremen,4,36
1058,13945,NIPPON PUSEN KAISHA,BREAKFAST,COMMERCIAL,"S.S. ""KOBE WARU""",9/24/1900,Nippon Pusen Kaisha,2,23
1059,13946,NIPPON PUSEN KAISHA,TIFFIN,COMMERCIAL,"S.S. ""KOBE WARU""",9/24/1900,Nippon Yusen Kaisha,2,19
1060,13947,NIPPON YUSEN KAISHA,DINNER,COMMERCIAL,"EN ROUTE ABOARD S.S. ""KOBE WARU""",9/24/1900,Nippon Yusen Kaisha,2,17
1061,13948,INTERNATIONALE KOCHKUNST-AUSSTELLUNG,BANQUET HONORING JUDGING COLLEAGUES,"OTHER,(TRADE ASSOCIATION)","GRAND HOTEL,PARISER HOF,FRANKFURT A.M.,[GERMANY]",10/13/1900,Internationale Kochkunst Ausstellung,4,11
1063,13950,NIPPON YUSEN KAISHA,DINNER,COMMERCIAL,EN ROUTE ABOARD SS. KOHE MARU,10/14/1900,Nippon Yusen Kaisha,2,19
1064,13951,GRISWOLD HOUSE,DINNER,COMMERCIAL,"(DETROIT,MI?)",10/14/1900,Griswold House,4,47
1065,13952,PALACE HOTEL,BREAKFAST,COMMERCIAL,"[SAN FRANCISCO,CA]",10/31/1900,Palace Hotel,2,63
1066,13953,PALACE HOTEL,LUNCH,COMMERCIAL,"SAN FRANCISCO,[CA?]",10/31/1900,Palace Hotel,2,37
1067,13954,PALACE HOTEL,DINNER,COMMERCIAL,"SAN FRANCISCO,CA",10/31/1900,Palace Hotel,2,51
1068,13955,HOTEL GRUNEWALD,LUNCH,COMMERCIAL,"NEW ORLEANS,[LA?]",10/31/1900,Hotel Grunewald,2,21
1070,13958,ZUM FRANCISKANER/OSCAR BEGAUER,DINNER/ABEND-KARTE,COMMERCIAL,"BERLIN NW, GEORGEN-STRASSE NR. 13; [GERMANY]",9/4/1900,Zum Franciskaner/Oscar Begauer,2,90
1071,13959,NIPPON YUSEN KAISHA,[DINNER],COMMERCIAL,ABOARD SS KASUGA;,9/5/1900,Nippon Yusen Kaisha,2,16
1072,13960,NORDEUTSCHER LLOYD,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD HERZOGIN SOPHIE CHARLOTTE,9/5/1900,Nordeutscher Lloyd,2,72
1075,13967,S.P.S.A.A.,MENU,[EDUC];,"MANHATTAN HOTEL, NEW YORK, NY",12/12/1900,S.P.S.A.A.,2,18
1076,13968,BAPTIST SOCIAL UNION OF NEW YORK,MENU,REL;,"MANHATTAN HOTEL, NEW YORK, NY",12/12/1900,Baptist Social Union Of New York,2,18
1077,13971,WILLIAMS ALUMNI ASSOCIATION OF NEW YORK,DINNER,EDUC;,"DELMONICO'S, NEW YORK, NY",12/14/1900,Williams Alumni Association Of New York,4,18
1078,13972,MICHIGAN SOCIETY SONS OF THE AMERICAN REVOLUTION,"BANQUET COMMEMORATING ""THE BOSTON TEA PARTY""",PAT;,"RUSSELL HOUSE,[ ?], MI",12/14/1900,Michigan Society Sons Of The American Revolution,4,27
1079,13973,A.U.S.V.,MENU,MIL;,"MANHATTAN HOTEL, NEW YORK, NY",12/14/1900,A.U.S.V.,2,13
1080,13974,CIVIL SERVICE REFORM ASSOCIATION OF NEW YORK,DINNER TENDERED TO DELEGATES TO THE TWENTIETH ANNUAL MEETING OF THE NATION CIVIL SERVICE REFORM LEAGUE,GOVT;,"SAVOY HOTEL, NEW YORK, NY",12/14/1900,Civil Service Reform Association Of New York,2,16
1081,13975,LOTOS CLUB,"DINNER IN HONOR OF WU TING-FAN, HIS IMPERIAL CHINESE MAJESTY'S ENVOY EXTRAORDINARY AND MINISTER PLENIPOTENTIARY TO THE UNITED STATES, SPAIN AND PERU",SOC;,"LOTOS CLUB, NEW YORK, NY",12/15/1900,Lotos Club,6,14
1082,13976,NIPPON PUSEN KAISHA,BREAKFAST,COMMERCIAL,S.S. KASUGA,9/24/1900,Nippon Pusen Kaisha,2,15
1083,13977,NIPPON YUSEN KAISHA,TIFFIN,COMMERCIAL,EN ROUTE ABOARD SS. KASUGA MARU,9/25/1900,Nippon Yusen Kaisha,2,18
1084,13978,NATIONAL COOPERS ASSOCIATION,BANQUET,COMMERCIAL,"CHICAGO BEACH HOTEL [CHICAGO, IL]",9/26/1900,National Coopers Association,4,30
1085,13979,HOME INSURANCE CO. OF NEW YORK REPRESENTATIVES,INFORMAL DINNER,PROF;,"GRAND PACIFIC HOTEL, CHICAGO, IL",9/26/1900,Home Insurance Co. Of New York Representatives,2,22
1086,13980,GRAND HOTEL CENTRAL,DINNER,COMMERCIAL,LISBONNE (PORTUGAL?),9/26/1900,Grand Hotel Central,2,13
1087,13981,GRAND HOTEL HUNGARIA,LUNCHEON,COMMERCIAL,"BUDAPEST, HUNGARY",9/26/1900,Grand Hotel Hungaria,2,16
1088,13982,GRISWOLD HOUSE,MIDDAY MEAL,COMMERCIAL,"DETROIT, MI",9/26/1900,Griswold House,2,50
1089,13983,NORDDEUTSCHER LLOYD  BREMEN,EVENING MEAL,COMMERCIAL,EN ROUTE ABOARD DAMPFER LAHN,5/12/1901,Norddeutscher Lloyd  Bremen,2,32
1090,13984,OCEANIC STEAMSHIP CO.,DINNER-SECOND CABIN,COMMERCIAL,EN ROUTE ABOARD VENTURA,5/28/1901,Oceanic Steamship Co.,2,23
1091,13985,OCEANIC STEAMSHIP CO.,BREAKFAST-SECOND CABIN,COMMERCIAL,EN ROUTE ABOARD VENTURA,5/28/1901,Oceanic Steamship Co.,2,22
1092,13986,GEO.T.TRIMBLE & ALUMNI ASSOCIATION OF OLD PUBLIC SCHOOL #7,75TH ANNIVERSITY & 4TH LADIES RECEPTION,EDUC;,[NY],5/29/1901,Geo.T.Trimble & Alumni Association Of Old Public School #7,2,19
1093,13987,WINDSOR HOTEL,SUPPER,COMMERCIAL,"JACKSONVILLE, FL",12/15/1900,Windsor Hotel,2,42
1094,13988,SHERRY'S,THE H.B.CLAFLIN CO. DINNER,COMMERCIAL,"SHERRY'S, NEW YORK, NY",12/15/1900,Sherry's,2,23
1095,13989,(PHI DELTA PHI FRATERNITY),MENU,EDUC;,"MARLBOROUGH HOTEL, [?]",12/17/1900,Phi Delta Phi Fraternity,2,24
1096,13990,OLYMPIC CLUB OF NEW YORK,SECOND ANNUAL DINNER,SOC;,"SHANLEY'S ROMAN COURT, NEW YORK, NY",12/17/1900,Olympic Club Of New York,4,25
1097,13991,U.S.M.S.,DINER D'ADIEU,NAV;,"ON BOARD ""NEW YORK""",12/19/1900,U.S.M.S.,2,100
1098,13993,'POSSUM CLUB,BANQUET,SOC;,"GRISWOLD HOUSE, DETROIT, MI",12/20/1900,'Possum Club,4,21
1099,13994,NEW ENGLAND SOCIETY IN THE CITY OF BROOKLYN,DINNER,SOC;,ART ROOMS OF THE ACADEMY OF MUSIC,12/21/1900,New England Society In The City Of Brooklyn,4,46
1100,13996,USMS NEW YORK,LUNCHEON,MIL;,EN ROUTE ABOARD NEW YORK,12/22/1900,Usms New York,2,107
1101,13997,USMS NEW YORK,DINNER,MIL;,EN ROUTE ABOARD NEW YORK,12/22/1900,Usms New York,2,102
1102,13998,HAAN'S,DINNER,COMMERCIAL,"PARK ROW BUILDING, [NY]",12/22/1900,Haan's,2,325
1103,13999,C.C.N.Y.CLASS OF '80,TWENTIETH ANNIVERSARY DINNER,EDUC;,"HOTEL MANHATTAN, NY",12/22/1900,C.C.N.Y.Class Of '80,4,19
1104,14000,CAFE SACHS,DAILY MENU,COMMERCIAL,"86 CANAL STREET, NY",12/23/1900,Cafe Sachs,4,60
1106,14002,COLONNADE RESTAURANT,CHRISTMAS LUNCH,COMMERCIAL,"726 BROADWAY, NY",12/24/1900,Colonnade Restaurant,2,23
1107,14003,STANTON HOUSE,LUNCHEON,COMMERCIAL,"CHATTANOOGA,TENN.",12/24/1900,Stanton House,2,34
1108,14004,RUSSELL HOUSE,CHRISTMAS DINNER,COMMERCIAL,"DETROIT,MICH.",12/25/1900,Russell House,8,40
1109,14005,SAN JUAN HOTEL,CHRISTMAS DINNER,COMMERCIAL,"ORLANDO, FLORIDA",12/25/1900,San Juan Hotel,4,34
1110,14006,TULANE HOTEL,CHRISTMAS DINNER,COMMERCIAL,"NASHVILLE, TENN.",12/25/1900,Tulane Hotel,4,43
1111,14009,NORDDEUTSCHER LLOYD - BREMEN,BREAKFAST,COM,"EN ROUTE "" H.H.MEIER""",4/29/1901,Norddeutscher Lloyd   Bremen,2,17
1112,14010,NORDDEUTSCHER LLOYD - BREMEN,LUNCH,COM,"EN ROUTE ""H.H.MEIER""",4/29/1901,Norddeutscher Lloyd   Bremen,2,15
1113,14011,NORDDEUTSCHER LLOYD - BREMEN,MITTAGESSEN[DINNER],COM,"EN ROUTE ""H.H.MEIER""",4/29/1901,Norddeutscher Lloyd   Bremen,2,12
1114,14012,ASCHENBROEDEL VEREIN,DAILY MENU,COM,144 E.86 ST.NY,4/30/1901,Aschenbroedel Verein,2,135
1115,14013,DRUG-TRADE CLUB,DINNER,PROF;,?,4/30/1901,Drug Trade Club,2,10
1116,14014,NORDDEUTSCHER LLOYD -  BREMEN,BREAKFAST,COM,"EN ROUTE S.S ""BARBAROSSA""",4/30/1901,Norddeutscher Lloyd    Bremen,2,82
1117,14015,NORDDEUTSCHER LLOYD - BREMEN,LUNCH,COM,EN ROUTE; S.S.BARBAROSSA,4/30/1901,Norddeutscher Lloyd   Bremen,2,67
1118,14016,NORDDEUTSCHER LLOYD - BREMEN,LUNCH,COM,"EN ROUTE; S.S.BARBAROSSA""",4/30/1901,Norddeutscher Lloyd   Bremen,2,24
1119,14017,NORDDEUTSCHER LLOYD - BREMEN,BREAKFAST,COM,"EN ROUTE - S.S.""H.H.MEIER""",4/30/1901,Norddeutscher Lloyd   Bremen,2,20
1120,14018,NORDDEUTSCHER LLOYD - BREMEN,LUNCH,COM,"EN ROUTE -S.S. ""H.H.MEIER""",4/30/1901,Norddeutscher Lloyd   Bremen,2,14
1121,14019,NORDDEUTSCHER LLOYD - BREMEN,MITTAGESSEN [DINNER],COMMERCIAL,"EN ROUTE - S.S.""H.H.MEIER""",4/30/1901,Norddeutscher Lloyd   Bremen,2,13
1122,14021,MANSION HOUSE,MENU OF THE DINNER,COMMERCIAL,"GREENFIELD, MA",9/25/1901,Mansion House,2,33
1123,14022,MANSION HOUSE,MENU OF THE SUPPER,COMMERCIAL,"GREENFIELD, MA",9/25/1901,Mansion House,2,49
1125,14024,COLUMBIA RESTAURANT,BILL OF FARE,COMMERCIAL,"NEW YORK, NY",9/26/1901,Columbia Restaurant,4,510
1126,14025,MANSION HOUSE,MENU OF THE BREAKFAST,COMMERCIAL,"GREENFIELD, MA",9/26/1901,Mansion House,2,52
1127,14027,OREGON SHORT LINE DINING CAR SERVICE,BREAKFAST,COMMERCIAL,EN ROUTE,9/1/1901,Oregon Short Line Dining Car Service,2,56
1128,14028,OREGON SHORT LINE DINING CAR SERVICE,LUNCHEON,COMMERCIAL,EN ROUTE,9/1/1901,Oregon Short Line Dining Car Service,2,47
1129,14029,OREGON SHORT LINE DINING CAR SERVICE,SUPPER,COMMERCIAL,EN ROUTE,9/1/1901,Oregon Short Line Dining Car Service,2,46
1130,14030,OREGON RAILROAD & NAVIGATION CO.,BREAKFAST,COMMERCIAL,EN ROUTE,9/1/1901,Oregon Railroad & Navigation Co.,2,59
1131,14031,OREGON RAILROAD & NAVIGATION CO.,LUNCHEON,COMMERCIAL,EN ROUTE,9/1/1901,Claremont Hotel,2,44
1132,14032,OREGON RAILROAD & NAVIGATION CO.,SUPPER,COMMERCIAL,EN ROUTE,9/1/1901,Oregon Railroad & Navigation Co.,2,63
1133,14033,A.A.O.N.M.S. AND OFFICIAL STAFF,OFFICIAL VISIT OF INSPECTION OF ILLUSTRIOUS POTENTATE CHARLES A. BENEDICT,SOC;,"KRUEGER AUDITORIUM, NEWARK, NJ",10/2/1901,A.A.O.N.M.S. And Official Staff,2,13
1134,14035,N.Y.Y.C. INTERNATIONAL YACHT RACES,INERNATIONAL YACHT RACES,COMMERCIAL,STAMER CHESTER W. CHAPIN,10/3/1901,N.Y.Y.C. International Yacht Races,4,20
1135,14036,PICKWICK CLUB,ANNUAL DINNER,SOCIAL,"NEW PRLEANS,LA",11/6/1901,Pickwick Club,4,22
1136,14037,RED STAR LINE - ANTWERPEN -NY,BREAKFAST,COM,EN ROUTE S.S ZEELAND,11/6/1901,Red Star Line   Antwerpen  Ny,2,20
1137,14039,RED STAR LINE - ANTWERPEN -NY,BREAKFAST,COM,EN ROUTE S.S. ZEELAND,11/7/1901,Red Star Line   Antwerpen  Ny,2,21
1138,14040,RED STAR LINE - ANTWERPEN  - NY,LUNCHEON,COM,EN ROUTE S.S.ZEELAND,11/7/1901,Red Star Line   Antwerpen    Ny,2,21
1139,14043,RED STAR LINE - ANTWERPEN - NY,BREAKFAST,COM,EN ROUTE S.S. ZEELAND,11/8/1901,Red Star Line   Antwerpen   Ny,2,21
1140,14045,BRITISH SCHOOLS AND UNIVERSITIES CLUB,SIXTH ANNUAL DINNER,EDUC;,"DELMONICO'S, NEW YORK, NY",11/9/1901,British Schools And Universities Club,2,19
1141,14046,AMERICAN BRASS COMPANY,COMPLIMENTARY DINNER GIVEN TO CHICAGO REPRESENTATIVES,COMMERCIAL,"CHICAGO ATHLETIC ASSOCIATION, CHICAGO, IL",11/9/1901,American Brass Company,4,18
1142,14050,(J.S. WEIR MITCHELL),[DINNER TO THE NATIONAL ACADEMY OF SCIENCES],"OTHER (PRIVATE PARTY, SINGLE HOST);","BELLEVUE HOTEL, PHILADELPHIA, PA",11/14/1901,J.S. Weir Mitchell,2,16
1143,14053,THE ROCKAFELLOW,CHRISTMAS DINNER,COMMERCIAL,"HOT SPRINGS, AR",12/25/1906,The Rockafellow,8,33
1144,14056,HOTEL NORMANDIE,DAILY MENU,COMMERCIAL,"BROADWAY AND 38TH ST., NEW YORK CITY",12/25/1906,Hotel Normandie,4,126
1145,14057,HOTEL METROPOLE,CHRISTMAS DINNER,COMMERCIAL,"LAS PALMAS, CANARY ISLANDS",12/25/1906,Hotel Metropole,2,14
1147,14059,JOHN ELIOT'S DESCENDANTS,SECOND MEETING OF ABOVE,SOC;,"SOUTH NATICK, MA",7/3/1901,John Eliot's Descendants,2,27
1148,14060,RALEIGH HOTEL AND RESTAURANT CO.,LUNCH,COMMERCIAL,663-665 BROADWAY,7/9/1901,Raleigh Hotel And Restaurant Co.,2,116
1149,14061,CANADIAN PACIFIC RAILWAY,BREAKFAST,COMMERCIAL,DINING CAR,7/10/1901,Canadian Pacific Railway,2,34
1150,14062,SOUTHERN PACIFIC COMPANY,LUNCHEON,COMMERCIAL,SUNSET OGDEN AND SHASTA ROUTES - DINING CAR,8/30/1901,Southern Pacific Company,2,57
1151,14064,SUMMIT HOUSE,BREAKFAST,COMMERCIAL,"MOUNT WASHINGTON, NH",9/1/1901,Summit House,2,30
1153,14066,NORDDEUTSCHER LLOYD BREMEN,MITTAGESSEN;,COMMERCIAL,EN ROUTE ABOARD DAMPFER FRIEDRICH DER GROSSER,7/3/1901,Norddeutscher Lloyd Bremen,2,11
1154,14067,HAMBURG-AMERIKA LINIE,LUNCH,COMMERCIAL,EN ROUTE ABOARD FUST BISMARCK,7/4/1901,Hamburg Amerika Linie,2,30
1155,14068,MAHOGANY PALACE,MENU,COMMERCIAL,"PROVIDENCE, RI",10/5/1901,Mahogany Palace,4,82
1156,14072,STEVENS HOUSE,MENU,COMMERCIAL,"NEW YORK, NY",10/10/1901,Stevens House,4,212
1157,14074,HOTEL CADILLAC,BREAKFAST,COMMERCIAL,"DETROIT, MI",7/10/1901,Hotel Cadillac,2,109
1158,14075,HOTEL CADILLAC,DINNER,COMMERCIAL,"DETROIT, MI",7/10/1901,Hotel Cadillac,2,56
1159,14076,NORDEUTSCHER LLOYD BREMEN,SUPPER (?),COMMERCIAL,EN ROUTE ABOARD SS FRIEDRICH DER GROSSE,7/10/1901,Nordeutscher Lloyd Bremen,2,15
1161,14078,NORDEUTSCHER LLOYD BREMEN,SUPPER(?),COMMERCIAL,EN ROUTE ABOARD SS FRIEDRICH DER GROSSE,7/11/1901,Nordeutscher Lloyd Bremen,2,14
1162,14080,SEVENTH MASONIC DISTRICT,BANQUET,SOC;,"MARLBOROUGH HOTEL, (?)",11/18/1901,Seventh Masonic District,4,22
1163,14081,NEW YORK AND PORTO RICO STEAMSHIP COMPANY,MENU,COMMERCIAL,S.S. SAN JUAN,11/17/1901,New York And Porto Rico Steamship Company,2,31
1164,14082,CHICAGO ATHLETIC ASSOCIATION,BILL OF FARE,SOC;,"CHICAGO, IL",11/18/1901,Chicago Athletic Association,34,669
1165,14083,HOTEL DREYFUS FRENCH RESTAURANR,DAILY MENU,COMMERCIAL,"HAYWARD PLACE BOSTON, MA AND PROVIDENCE, RI",11/19/1901,Hotel Dreyfus French Restauranr,4,387
1166,14084,TERRACE GARDEN RESTAURANT,DAILY MENU,COMMERCIAL,"58TH ST. AND LEXINGTON AVE., NY",9/3/1901,Terrace Garden Restaurant,4,524
1167,14085,PHI GAMMA DELTA,53RD ANNUAL DINNER,EDUC;,"INTERNATIONAL HOTEL,NIAGARA FALLS,NY",9/5/1901,Phi Gamma Delta,12,17
1168,14086,LOUISVILLE & NASHVILLE RAILROAAD - THE PULLMAN CO.,LUNCHEON,COM,EN ROUTE,9/1/1901,Louisville & Nashville Railroaad   The Pullman Co.,2,37
1169,14087,PENNSYLVANIA LIMITED - THE PULLMAN CO.,LUNCHEON,COM,EN ROUTE,9/5/1901,Pennsylvania Limited   The Pullman Co.,2,31
