,id,sponsor,event,venue,place,date,location,page_count,dish_count
8936,26372,St. James Restaurant Ltd,Souper Intime,RESTAURANT,Maison Prunier,7/1/1964,St. James Restaurant Ltd,3,128
8939,26375,St. James Restaurant Ltd,Sunday lunch,RESTAURANT,Maison Prunier,5/1/1968,St. James Restaurant Ltd,3,125
8968,26405,The Swan Hotel,John & E. Sturge Directors' Dinner,HOTEL,The Swan Hotel,6/17/1976,The Swan Hotel,2,9
8994,26432,Hotel Ritz,Breakfast,HOTEL,Hotel Ritz,2/1/1977,Hotel Ritz,5,84
9018,26458,Hotel Okura,Breakfast,"HOTEL,RESTAURANT",Orchid Room,12/1/1969,Hotel Okura,3,99
9021,26461,Fujiya Hotel,Room service,HOTEL,Fujiya Hotel,1/1/1968,Fujiya Hotel,7,170
9085,26533,Hotel Goldener Hirsch,Dinner,HOTEL,Hotel Goldener Hirsch,8/11/1980,Hotel Goldener Hirsch,1,11
9110,26559,Chez Les Anges,Daily,"FOREIGN,RESTAURANT",Chez Les Anges,10/30/1970,Chez Les Anges,7,65
9112,26561,Chez Tante Louise,Lunch,"FOREIGN,RESTAURANT",Chez Tante Louise,9/26/1968,Chez Tante Louise,2,79
9115,26564,Drug Store,Daily,"FOREIGN,RESTAURANT",Drug Store,6/3/1966,Drug Store,12,265
9116,26566,Grill Relais Plaza ,Daily,"FOREIGN,RESTAURANT",Grill Relais Plaza,11/17/1997,Grill Relais Plaza ,8,216
9125,26575,La Fermette Mabeuf 1900,Daily,"FOREIGN,RESTAURANT",La Fermette Mabeuf 1900,6/19/1993,La Fermette Mabeuf 1900,8,64
9127,26577,"Chez ""Maxim's""",Dinner,RESTAURANT,Maxim's,9/26/1966,"Chez ""Maxim's""",3,110
9130,26580,Le Vert Galant,Daily menu,"FOREIGN,RESTAURANT","resturant, Le Vert Galant, France",5/1/1951,Le Vert Galant,3,86
9131,26581,L'Escargot Restaurant,Daily menu,"FOREIGN,RESTAURANT","L'Escargot Restaurant, 38 Rue Montorgueil, Aux Halles, France",6/25/1967,L'escargot Restaurant,3,99
9139,26589,Voisin,Lunch,RESTAURANT,Voisin,1/22/1958,Voisin,3,143
9168,26619,Bistrot du Sommelier,Daily,"FOREIGN,RESTAURANT",Bistrot du Sommelier,12/21/1999,Bistrot Du Sommelier,4,52
9170,26622,Societe Nationale de Poudres et Explosifs,Dinner,"FOREIGN,HOTEL",Chateau de Brindos,9/18/1980,Societe Nationale De Poudres Et Explosifs,3,10
9176,26628,l'Excuse,daily menu,"FOREIGN,RESTAURANT","restaurant, l'Excuse, 14 Rue Charles V 75004, France",4/26/1996,L'excuse,3,61
9204,26656,Sebastians,Dinner,RESTAURANT,Sebastians,4/13/1966,Sebastians,4,87
9235,26687,Stock Yard Inn,Lunch,"HOTEL,RESTAURANT",Sirloin Room,1/1/1971,Stock Yard Inn,3,36
